No,Tanggal,Lokasi,Aktual Harga,Aktual Produksi,Aktual Luas Tanam,Aktual Curah Hujan,Aktual Bencana,Aktual Luas Terkena Hama,Stabilitas Harga,Musim,Banjir,Prosentase Hama,Hama,Pergerakan Harga,,,,
1,2008-01-01,1,5006,288577,194599,240.90,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
11,2008-01-01,11,5112,7722,12653,463.00,0.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
12,2008-02-01,1,5032,709949,76497,116.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
23,2008-03-01,1,4878,1622137,121151,242.40,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
34,2008-04-01,1,4745,1957305,260823,297.10,1.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
45,2008-05-01,1,4823,1094081,222666,165.40,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
56,2008-06-01,1,5042,430084,125537,65.30,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
67,2008-07-01,1,5076,681139,61885,3.60,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
78,2008-08-01,1,5083,1466408,78181,58.60,0.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
89,2008-09-01,1,5096,848852,50220,41.50,1.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Naik,,,,
100,2008-10-01,1,5085,478575,123550,137.00,1.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
111,2008-11-01,1,5083,235919,282295,277.30,0.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
122,2008-12-01,1,5133,298043,340623,332.80,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,, 
133,2009-01-01,1,5137,302126,148100,208.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,,
144,2009-02-01,1,5278,743284,91611,200.50,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Naik,,,,
155,2009-03-01,1,5171,1698302,166660,365.70,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
166,2009-04-01,1,5135,2049207,259635,165.60,1.00,0.00,Stabil,Penghujan,Banjir,0,Tidak Ada Hama,Turun,,,,
177,2009-05-01,1,5117,974963,185047,183.80,1.00,0.00,Stabil,Kemarau,Banjir,0,Tidak Ada Hama,Turun,,,,
188,2009-06-01,1,5122,603088,117545,101.00,1.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
199,2009-07-01,1,5128,1097146,96525,24.20,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
210,2009-08-01,1,5167,1709214,89635,0.50,0.00,0.00,Stabil,Kemarau,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
221,2009-09-01,1,5184,825884,42683,24.00,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
232,2009-10-01,1,5162,524615,92042,234.50,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Turun,,,,
243,2009-11-01,1,5173,430801,257353,318.20,0.00,0.00,Stabil,Penghujan,Tidak Ada Banjir,0,Tidak Ada Hama,Naik,,,,
254,2009-12-01,1,5244,400050,329541,271.10,0.00,0.00,STABIL,Penghujan,Ada Bencana,20.79985006,Ada Hama,Naik,,,,
265,2010-01-01,1,5643,288448,206084,353.30,1.00,8878.00,STABIL,Penghujan,Ada Bencana,18.01568849,Ada Hama,Naik,,,,
276,2010-02-01,1,5939,622012,113830,557.10,1.00,16582.00,STABIL,Penghujan,Ada Bencana,8.733918004,Tidak Ada Hama,Naik,,,,
287,2010-03-01,1,5650,1739169,141104,531.00,1.00,22477.00,STABIL,Kemarau,Ada Bencana,4.519012809,Tidak Ada Hama,Turun,,,,
298,2010-04-01,1,5610,2227009,229219,93.00,1.00,14892.00,STABIL,Penghujan,Ada Bencana,5.233302925,Tidak Ada Hama,Turun,,,,
309,2010-05-01,1,5526,1230674,235581,345.00,1.00,10785.00,STABIL,Kemarau,Ada Bencana,16.42449266,Ada Hama,Turun,,,,
320,2010-06-01,1,5710,679760,134658,131.90,1.00,18696.00,STABIL,Penghujan,Tidak Ada Bencana,25.56128813,Ada Hama,Naik,,,,
331,2010-07-01,1,5934,842632,136069,220.80,0.00,36068.00,STABIL,Kemarau,Ada Bencana,11.51606106,Ada Hama,Naik,,,,
